Tract index,CALI
1,0.009999833330830432
2,0.009999833330830432
3,0.009999833330830432
4,0.009999833330830432
5,0.009999833330830432
6,0.009999833330830432
7,0.009999833330830432
8,0.009999833330830432
9,0.009999833330830432
10,0.009999833330830432
11,0.009999833330830432
12,0.009999833330830432
13,0.009999833330830432
14,0.009999833330830432
15,0.009999833330830432
16,0.009999833330830432
17,0.009999833330830432
18,0.009999833330830432
19,0.009999833330830432
whole GM,13.170746414805794
